Tue Oct 10 10:28:08 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 13:24:35 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
